                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.38273,                 0.3762,                 0.9615,                0.71604,                0.70067,                0.71518,                0.61388,                0.58773,                 1.3506,                 1.0933,              8.289e-05,              8.289e-05,              8.289e-05
                     73,                0.38208,                0.38233,                0.96385,                0.76534,                0.66425,                0.72135,                0.61784,                0.58308,                 1.3466,                 1.0901,             8.0217e-05,             8.0217e-05,             8.0217e-05
                     74,                0.37608,                0.37404,                0.95937,                0.74082,                0.68663,                0.72577,                 0.6224,                0.57799,                 1.2967,                 1.0932,             7.7544e-05,             7.7544e-05,             7.7544e-05
                     75,                0.38111,                0.37313,                0.96026,                0.72772,                0.68903,                0.71991,                 0.6178,                0.58026,                 1.3228,                 1.0872,             7.4871e-05,             7.4871e-05,             7.4871e-05
                     76,                0.37711,                0.36954,                0.96103,                0.74771,                0.67674,                0.71975,                0.61784,                 0.5834,                 1.3167,                 1.0895,             7.2198e-05,             7.2198e-05,             7.2198e-05
                     77,                0.37314,                0.36659,                0.95473,                0.74783,                0.66901,                0.71621,                0.61508,                0.58577,                 1.3457,                 1.0942,             6.9525e-05,             6.9525e-05,             6.9525e-05
                     78,                0.37062,                0.36228,                0.95649,                0.75122,                0.67738,                0.72443,                0.61947,                0.58177,                 1.3382,                 1.0957,             6.6852e-05,             6.6852e-05,             6.6852e-05
                     79,                0.37504,                 0.3581,                0.95285,                0.73115,                0.68073,                0.71901,                0.61443,                 0.5828,                 1.3296,                 1.0941,             6.4179e-05,             6.4179e-05,             6.4179e-05
                     80,                0.37271,                0.35826,                0.95246,                0.73561,                0.67984,                0.71834,                0.61531,                0.58648,                 1.3445,                 1.0994,             6.1506e-05,             6.1506e-05,             6.1506e-05
                     81,                0.36878,                0.35584,                0.95305,                  0.731,                0.67764,                0.71871,                0.61555,                0.58658,                 1.3456,                 1.1013,             5.8833e-05,             5.8833e-05,             5.8833e-05
